SessionId,DeviceId,Time,UserId,IP,EventAction,EventCategory,EventData,EventEntity,EventLabel,EventLabelRaw,EventSource,UserAgent,Product,MachineName,CollectTime,Platform
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:43:59.500000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.app.resume,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:00+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.app.start,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'device', 'Value': 'iPhone18,1'}}],
      dtype=object)}","CityID:0;Lang:hk;Ver:7.20.5;device:iPhone18,1",Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:06.700000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.qcksearch,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': 'Index'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Home'}}],
      dtype=object)}",CityID:0;sr:Index;sn:HK.Home,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:08.800000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.search.quick,,,,"{'list': array([{'item': {'List': 0, 'Param': 'Page', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'whatwhere', 'Value': '串燒兄妹'}},
       {'item': {'List': 0, 'Param': 'savehistory', 'Value': 'true'}},
       {'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': 'qcksearch'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",Page:1;whatwhere:串燒兄妹;savehistory:true;CityID:0;Lang:hk;Ver:7.20.5;sr:qcksearch;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:09.100000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,impression.poi,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '769806'}},
       {'item': {'List': 0, 'Param': 'Type', 'Value': 'General'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': '2'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:769806;Type:General;sr:2;poiTypeId:1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:09.200000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,impression.poi,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '875828'}},
       {'item': {'List': 0, 'Param': 'Type', 'Value': 'General'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': '2'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:875828;Type:General;sr:2;poiTypeId:1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:09.200000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,impression.poi,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '994595'}},
       {'item': {'List': 0, 'Param': 'Type', 'Value': 'General'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': '2'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:994595;Type:General;sr:2;poiTypeId:1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:10.500000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,impression.poi,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '1128298'}},
       {'item': {'List': 0, 'Param': 'Type', 'Value': 'General'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': '2'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:1128298;Type:General;sr:2;poiTypeId:1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:11.200000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.poi.get-details,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '994595'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': 'sr1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:994595;poiTypeId:1;sr:sr1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
178112,2c1ec027-be02-4201-a8ce-09c4ca6031b2,2026-09-15 00:44:11.200000+00:00,ee1fd8bc-9843-44d2-95d2-b0fab193b1eb,123.202.105.130,or.search.get-poi,,,,"{'list': array([{'item': {'List': 0, 'Param': 'CityID', 'Value': '0'}},
       {'item': {'List': 0, 'Param': 'Lang', 'Value': 'hk'}},
       {'item': {'List': 0, 'Param': 'Ver', 'Value': '7.20.5'}},
       {'item': {'List': 0, 'Param': 'POIID', 'Value': '994595'}},
       {'item': {'List': 0, 'Param': 'poiTypeId', 'Value': '1'}},
       {'item': {'List': 0, 'Param': 'sr', 'Value': 'sr1'}},
       {'item': {'List': 0, 'Param': 'sn', 'Value': 'HK.Search.SR1.1'}}],
      dtype=object)}",CityID:0;Lang:hk;Ver:7.20.5;POIID:994595;poiTypeId:1;sr:sr1;sn:HK.Search.SR1.1,Events,OpenRice_iOS/7.20.5 (iPhone; iOS 26.6.2);Lang:zh-HK,OpenRice,production-orga-openrice-netcore-app-67b5c6675c-9plj9,2026-09-15 00:23:01+00:00,ios
